CurrentInstance,CurrentMAC,NewInstance,NewMAC,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,480
10,10,,,,,,,,,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,,
13,13,,,,,,,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,,,,,,,,,,,,,,,,,
17,17,,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,,,,,,,,,,,,,,,,
25,25,,,,,,,,,,,,,,,,,,,,,
26,26,,,,,,,,,,,,,,,,,,,,,
31,31,,,,,,,,,,,,,,,,,,,,,
35,35,,,,,,,,,,,,,,,,,,,,,
43,43,,,,,,,,,,,,,,,,,,,,,
45,45,,,,,,,,,,,,,,,,,,,,,
50,50,,,,,,,,,,,,,,,,,,,,,
54,54,,,,,,,,,,,,,,,,,,,,,
55,55,,,,,,,,,,,,,,,,,,,,,
62,62,,,,,,,,,,,,,,,,,,,,,
77,77,,,,,,,,,,,,,,,,,,,,,
80,80,,,,,,,,,,,,,,,,,,,,,
81,81,,,,,,,,,,,,,,,,,,,,,
86,86,,,,,,,,,,,,,,,,,,,,,
92,92,,,,,,,,,,,,,,,,,,,,,
99,99,,,,,,,,,,,,,,,,,,,,,
100,100,,,,,,,,,,,,,,,,,,,,,
102,102,,,,,,,,,,,,,,,,,,,,,
103,103,,,,,,,,,,,,,,,,,,,,,
105,105,,,,,,,,,,,,,,,,,,,,,
106,106,,,,,,,,,,,,,,,,,,,,,
109,109,,,,,,,,,,,,,,,,,,,,,
112,112,,,,,,,,,,,,,,,,,,,,,
114,114,,,,,,,,,,,,,,,,,,,,,
115,115,,,,,,,,,,,,,,,,,,,,,
116,116,,,,,,,,,,,,,,,,,,,,,
117,117,,,,,,,,,,,,,,,,,,,,,
118,118,,,,,,,,,,,,,,,,,,,,,
120,120,,,,,,,,,,,,,,,,,,,,,
121,121,,,,,,,,,,,,,,,,,,,,,
122,122,,,,,,,,,,,,,,,,,,,,,
123,123,,,,,,,,,,,,,,,,,,,,,
125,125,,,,,,,,,,,,,,,,,,,,,
126,126,,,,,,,,,,,,,,,,,,,,,
127,127,,,,,,,,,,,,,,,,,,,,,
