Room,MAC,Instance
3A,8,703031
3B,9,703032
3C,10,703033
5,11,703050
7,12,703070
8,13,703080
9,14,703090
10,15,703100
11,16,703110
12,17,703120
14A,18,703141
14B,19,703142
13,20,703130
16,21,703160
15,22,703150
18,23,703180
17,24,703170
20,25,703200
19,26,703190
22,27,703220
21,28,703210
24,29,703240
34,31,703340
36,32,703360
35A,33,703351
35B,34,703352
35C,35,703353
37A,36,703371
37B,37,703372
38A,38,703381
38B,39,703382
39,40,703390
40,41,703400
41,42,703410
42A,43,703421
42B,44,703422
43,45,703430
44,46,703440
45,47,703450
47,48,703470
48A,49,703481
48B,50,703482
49,51,703490
50,52,703500
51,53,703510
