"BuildingDirection","Floor","Room","CurrentMAC","CurrentInstance","NewMAC","RoomNumber","UnitNumber","NewInstance"
"West","2","9","7","12090","7","09","0","12090"
"West","2","43","8","12430","8","43","0","12430"
"West","2","20","9","12200","9","20","0","12200"
"West","2","39","10","12390","10","39","0","12390"
"West","2","49","11","12490","11","49","0","12490"
"West","2","52B","12","12522","12","52","2","12522"
"West","2","21","13","12210","13","21","0","12210"
"West","2","12","14","12120","14","12","0","12120"
"West","2","6","15","12060","15","06","0","12060"
"West","2","8","16","12080","16","08","0","12080"
"West","2","14","17","12140","17","14","0","12140"
"West","2","4","18","12040","18","04","0","12040"
"West","2","10","19","12100","19","10","0","12100"
"West","2","34B","20","12342","20","34","2","12342"
"West","2","7","21","12070","21","07","0","12070"
"West","2","11B","22","12112","22","11","2","12112"
"West","2","11A","23","12111","23","11","1","12111"
"West","2","16","24","12160","24","16","0","12160"
"West","2","18","25","12180","25","18","0","12180"
"West","2","15A","26","12151","26","15","1","12151"
"West","2","13","27","12130","27","13","0","12130"
"West","2","38B","28","12382","28","38","2","12382"
"West","2","35","29","12350","29","35","0","12350"
"West","2","44","30","12440","30","44","0","12440"
"West","2","45","31","12450","31","45","0","12450"
"West","2","3A","32","12031","32","03","1","12031"
"West","2","15B","33","12152","33","15","2","12152"
"West","2","52A","34","12521","34","52","1","12521"
"West","2","5","35","12050","35","05","0","12050"
"West","2","32","36","12320","36","32","0","12320"
"West","2","51","37","12510","37","51","0","12510"
"West","2","38A","38","12381","38","38","1","12381"
"West","2","42","39","12420","39","42","0","12420"
"West","2","33","40","12330","40","33","0","12330"
"West","2","40","41","12400","41","40","0","12400"
"West","2","34A","42","12341","42","34","1","12341"
"West","2","47","43","12470","43","47","0","12470"
"West","2","23","44","12230","44","23","0","12230"
"West","2","37","45","12370","45","37","0","12370"
"West","2","3B","46","12032","46","03","2","12032"
"West","2","41","47","12410","47","41","0","12410"
"West","2","36","48","12360","48","36","0","12360"
"West","2","31","49","12310","49","31","0","12310"
"West","2","50","50","12500","50","50","0","12500"
